---config@码表分类=主码-次显码表
---config@码表别名= 隐藏全码
述	uuzu
谁	uvyf
熟	uzwh
痧	uabu
挲	uadu
艄	ucvo
厍	ueii
砷	ufuu
诜	ufye
渑	ugdd
殇	uhdp
熵	uhhk
墒	uhtk
蓍	uico
炻	uihu
轼	uiig
舐	uiqu
螫	uiti
虱	uivi
鄯	ujye
芟	ujcy
潸	ujdo
舢	ujve
蒴	uoco
澍	uudc
沭	uudu
黍	uuhu
姝	uunv
倏	uurq
绶	uzsy
嗜	uiko
嵊	ugen
珅	ufwu
眚	uguo
殳	uujy
𬳽	ufme
𬬸	uuju
柞	vamv
拃	vafv
摭	vifh
潴	vudo
祗	vipd
轾	viit
卮	vipv
橥	vuqm
𨙸	viue
汋	vodu
扺	vifu
茋	vicd
泜	vidd
铚	vijt
痓	vibt
赒	vzkk
昣	vfop
跱	vizc
滍	vidi
禔	vipr
瑧	vfwh
禛	vfpb
霅	vayk
蠋	vuii
窄	vdbv
炸	vahv
轧	vaiv
喳	vakd
榨	vamv
召	vcdk
找	vcfg
肇	vchy
朝	vcuo
折	vefj
疹	vfbp
镇	vfjb
拯	vgfa
狰	vgql
整	vguv
筝	vgvl
障	vheu
樟	vhmu
旨	vibo
芝	vicv
治	vidk
汁	vidu
秩	vihu
帜	vijb
帙	viju
制	vipd
知	viuk
智	viuo
识	viyb
沾	vjdk
盏	vjjm
占	vjlk
站	vjlk
粘	vjmk
灼	vohu
卓	volu
钟	vsjv
中	vsll
注	vudv
主	vudw
蛛	vuiv
驻	vumv
株	vumv
住	vurv
筑	vuvf
逐	vuzu
椎	vvmf
州	vzdl
咒	vzkj
周	vzkk
执	vifw
棹	vcmu
笊	vcvv
诏	vcyk
蓁	vfch
枕	vfmv
壮	vldu
溱	vfdh
浈	vfdr
瘴	vhbu
璋	vhwu
咫	viib
枳	vimb
踯	vize
跖	vizu
蘸	vjch
湛	vjdv
颛	vrer
篆	vrvu
冢	vsbn
渚	vudo
澍	vudc
邾	vuve
诌	vzye
吒	vakq
鄣	vhle
忮	vixy
舯	vsvv
隹	vvrf
砦	vdvu
怃	wuxw
铻	wujk
鋈	wudj
洧	wwdo
沩	wwdw
隈	wwen
𫇭	wwcw
𣲗	wwdw
忞	wfwx
郚	wuwe
峗	wwev
珸	wuwk
硊	wwuv
琟	wwwf
嵬	wweg
痦	wubk
靰	wugw
煟	wwho
溦	wwdw
鳂	wwan
螱	wwui
亹	wwwq
为	wwdd
顽	wjer
袜	wapm
外	wdxb
瘟	wfbm
稳	wfhx
问	wfmk
文	wfwx
望	whww
完	wjbe
晚	wjov
无	wuav
芜	wucw
污	wudk
巫	wugr
梧	wumk
物	wunw
伍	wurw
悟	wuxk
诬	wuyr
误	wuyt
未	wwan
薇	wwcw
危	wwdv
韪	wwow
巍	wweg
委	wwhn
味	wwkw
伟	wwrw
畏	wwtn
胃	wwto
凹	wala
浯	wudk
鼯	wujk
杌	wumw
婺	wusn
圬	wutk
迕	wuzw
葳	wwcn
闱	wwmw
娓	wwnm
镡	xbju
旬	xybo
恓	xixx
揳	xpfd
澥	xpdn
炘	xbhj
烜	xrhg
豨	xiuj
郄	xixe
渫	xpdm
葸	xicx
螅	xiix
榍	xpmo
痃	xrby
䜣	xiyj
䜣	xbyj
旴	xuoy
诇	xsyk
肸	xiou
钘	xkjk
俙	xirj
饻	xiuy
叚	xxvy
晅	xrog
冔	xuoy
冔	xuky
崄	xmea
骍	xkmu
琄	xrwo
硍	xmug
翈	xxjx
婞	xkng
睎	xioj
醑	xuyo
屃	xiur
穸	xibx
欻	xuhr
湑	xudo
缐	xmsu
瑆	xkwu
碏	xiuo
暅	xrog
𫍽	xryy
憙	xiux
熻	xihx
谿	xipk
酅	xiee
燮	xpwy
𤫉	xpwy
瓖	xlwy
羞	xqyi
馨	xbuo
心	xbdd
锌	xbju
辛	xblu
衅	xbxb
席	xigj
稀	xihj
熄	xihx
吸	xikj
牺	xinx
膝	xiou
禊	xipd
夕	xipd
系	xipx
喜	xiuk
杏	xkmk
星	xkou
猩	xkqu
性	xkxu
醒	xkyu
项	xlgr
香	xlho
详	xlyy
衔	xmii
线	xmsj
消	xndo
硝	xnuo
箫	xnvs
效	xnww
蟹	xpdi
泄	xpdu
械	xpmc
斜	xpru
些	xpve
谐	xpyb
谢	xpyc
渲	xrdg
轩	xrig
玄	xrwy
喧	xrkg
眩	xroy
选	xrze
匈	xsbk
雄	xsuf
凶	xsxk
血	xtpm
削	xtxd
雪	xtye
徐	xuih
婿	xuno
墟	xuty
恤	xuxx
狭	xxqj
霞	xxyy
殉	xydo
循	xyio
驯	xymi
迅	xyzu
咸	xmxk
畜	xuwt
瘕	xxby
晞	xioj
舄	xijh
粞	ximx
嬉	xink
奚	xipd
歙	xirr
硒	xiux
荇	xkci
飨	xlxl
苋	xmce
藓	xmcy
冼	xmde
岘	xmee
蚬	xmie
娴	xmnm
燹	xmuh
跹	xmzz
魈	xngo
骁	xnmw
枭	xnpm
绡	xnso
榭	xpmc
馐	xqui
谖	xryy
噱	xtku
谑	xtya
嘘	xuky
罅	xxfh
黠	xxhk
硖	xxuj
醺	xyyh
菥	xicj
筅	xmve
砉	xufu
儇	xrry
讻	xsyk
𬭳	xijk
𫰛	xkng
𬀪	xmoe
𬹼	xpvl
𬣞	xrya
𬬸	xuju
𬣙	xuyy
𬊈	xyhc
𬘓	xysi
吲	ybky
蝓	yuid
匜	yiky
嵎	yuey
彧	yuad
玙	yuwy
羑	yzyj
颙	ysyr
剡	yjhd
谳	yjyq
纡	yusy
蚰	yziy
嬴	ykwf
螈	yrix
伛	yurx
潆	ykdx
窬	yubd
尢	yzuv
邘	yuye
䜣	ybyj
佁	yirk
沄	yyds
枍	yimv
叕	yiyy
矞	yusk
洢	yidy
骃	ybmd
𫄧	yjsz
烻	yjhz
涢	yydr
浟	yzdw
宧	yibi
扅	yihx
扆	yihy
掞	yjfh
勚	yiul
桯	ykmw
敔	yuww
厣	yjij
鄅	yuye
悆	yurx
焆	yeho
淯	yudo
涴	yrdv
隃	yued
隩	yued
媖	ykny
琟	yuwf
㙘	yctn
棫	yuma
龂	ybvj
𫖮	yier
畬	yurt
馧	yyhm
椸	yimy
潩	yidb
㴔	yidx
扊	yjhh
瑀	yuwy
楪	yemm
歅	yjxr
锳	ykjy
筼	yyvr
艅	yuvh
裛	yiwy
褕	yupd
蕰	yycm
鹝	yian
鹢	yibn
潏	yudk
虤	yjhj
燚	yihh
繄	yikx
黡	yjih
蟫	ybiu
髃	yugy
嬿	yjnh
爚	ythc
夭	ycpd
衙	yaii
吖	yaky
呀	yaky
讶	yayy
引	ybgl
椅	yimk
荫	ybco
蚓	ybil
因	ybkd
摇	ycff
约	ycsu
要	ycxn
邪	yeye
痒	yhby
洋	yhdy
漾	yhdy
秧	yhhy
央	yhln
杨	yhmp
氧	yhqy
益	yibm
溢	yidm
抑	yife
移	yihx
役	yiiy
毅	yily
伊	yiry
依	yiry
壹	yiua
已	yivv
亦	yiwd
悒	yixb
翼	yixb
怡	yixk
议	yiyy
演	yjdb
淹	yjdd
烟	yjhd
衍	yjii
颜	yjir
檐	yjmk
燕	yjnh
严	yjyp
延	yjzv
俨	yjry
颖	ykbr
英	ykcy
莹	ykcy
婴	ykkn
鹦	ykkn
硬	ykug
赢	ykwf
冤	yrbd
院	yree
原	yrix
员	yrkr
缘	yrsu
鸳	yrxn
远	yrze
泳	ysdy
庸	ysgl
咏	ysky
佣	ysry
曰	ytka
约	ytsu
说	ytye
瘐	yuby
宇	yuby
芋	yucy
鱼	yuda
浴	yudk
屿	yuey
狱	yuqq
预	yusr
郁	yuue
玉	yuwd
羽	yuxx
语	yuyk
遇	yuzy
匀	yybd
允	yyse
酝	yyys
有	yzuo
由	yzla
屹	yieq
咦	yiky
贻	yikk
沂	yidj
狺	ybqk
龈	ybvg
夤	ybxb
霪	ybyr
杳	ycmo
瑶	ycwf
烨	yehu
邺	yeye
蛘	yhiy
徉	yhiy
肄	yiby
镒	yijm
翊	yilx
猗	yiqk
圯	yits
彝	yivc
奕	yiwd
劓	yizd
鼹	yjjn
郾	yjke
腌	yjod
鄢	yjve
筵	yjvz
琰	yjwh
恹	yjxq
膺	ykgo
楹	ykmm
沅	yrde
箢	yrvv
瑗	yrwy
羱	yryx
蛹	ysiy
慵	ysxl
钺	ytjv
萸	yucy
揄	yufd
燠	yuhd
煜	yuhl
圄	yukk
禺	yuld
觎	yure
鹬	yusn
熨	yuuh
聿	yuvl
殒	yydr
纭	yyss
熨	yyuh
筠	yyvd
韫	yywm
鱿	yzay
蝣	yziz
铀	yzjy
飏	yhjp
镱	yijx
埏	yjtz
祐	yzpk
珢	ybwg
𬬱	ybjj
𬤇	ybyt
𬬩	yijy
𬨎	yziy
吱	ziky
虸	ziiz
洓	zidn
鄑	ziye
粢	zidm
䎖	zgbx
澡	zcdm
载	zdui
字	zibz
资	zidr
咱	zjkz
昨	zoov
左	zoug
钻	zrjk
总	zsbx
宗	zsbx
棕	zsmx
纵	zssr
族	zufu
醉	zvyu
卒	zuwu
奏	zzft
咂	zakj
仄	zeir
啧	zekr
笮	zevv
缯	zgso
渍	zidr
锱	zijt
梓	zimu
镞	zuju
邹	zzde
诹	zzyy
偬	zsrx
赀	zivr
阼	zoev
