---config@码表分类=主码-1
---config@码表别名= 符号编码
∶	ofux#序15709
∷	ofux#序15708
∽	ofux#序15707
≈	ofux#序15706
≌	ofux#序15705
≒	ofux#序15704
≠	ofux#序15703
≡	ofux#序15702
≤	ofux#序15701
≥	ofux#序15700
≦	ofux#序15699
≧	ofux#序15698
≮	ofux#序15697
≯	ofux#序15696
⊕	ofux#序15695
⊙	ofux#序15694
⊥	ofux#序15693
⊿	ofux#序15692
＋	ofux#序15736
－	ofux#序15735
＜	ofux#序15734
＝	ofux#序15733
＞	ofux#序15732
─	ofvb#序15582
━	ofvb#序15571
│	ofvb#序15581
┃	ofvb#序15570
┌	ofvb#序15586
┏	ofvb#序15575
┐	ofvb#序15584
┓	ofvb#序15573
└	ofvb#序15585
┗	ofvb#序15574
┘	ofvb#序15583
┛	ofvb#序15572
├	ofvb#序15580
┣	ofvb#序15569
┤	ofvb#序15579
┫	ofvb#序15568
┬	ofvb#序15578
┳	ofvb#序15567
┴	ofvb#序15577
┻	ofvb#序15566
┼	ofvb#序15576
╋	ofvb#序15565
㈠	ofvu#序15691
㈡	ofvu#序15690
㈢	ofvu#序15689
㈣	ofvu#序15688
㈤	ofvu#序15687
㈥	ofvu#序15686
㈦	ofvu#序15685
㈧	ofvu#序15684
㈨	ofvu#序15683
㈩	ofvu#序15682
ㄅ	ofvy#序15681
ㄆ	ofvy#序15680
ㄇ	ofvy#序15679
ㄈ	ofvy#序15678
ㄉ	ofvy#序15677
ㄊ	ofvy#序15676
ㄋ	ofvy#序15675
ㄌ	ofvy#序15674
ㄍ	ofvy#序15673
ㄎ	ofvy#序15672
ㄏ	ofvy#序15671
ㄐ	ofvy#序15670
ㄑ	ofvy#序15669
ㄒ	ofvy#序15668
ㄓ	ofvy#序15667
ㄔ	ofvy#序15666
ㄕ	ofvy#序15665
ㄖ	ofvy#序15664
ㄗ	ofvy#序15663
ㄘ	ofvy#序15662
ㄙ	ofvy#序15661
ㄚ	ofvy#序15657
ㄛ	ofvy#序15656
ㄜ	ofvy#序15655
ㄝ	ofvy#序15654
ㄞ	ofvy#序15653
ㄟ	ofvy#序15652
ㄠ	ofvy#序15651
ㄡ	ofvy#序15650
ㄢ	ofvy#序15649
ㄣ	ofvy#序15648
ㄤ	ofvy#序15647
ㄥ	ofvy#序15646
ㄦ	ofvy#序15645
ㄧ	ofvy#序15660
ㄨ	ofvy#序15659
ㄩ	ofvy#序15658
Α	ofxd#序15644
Β	ofxd#序15643
Γ	ofxd#序15642
Δ	ofxd#序15641
Ε	ofxd#序15640
Ζ	ofxd#序15639
Η	ofxd#序15638
Θ	ofxd#序15637
Ι	ofxd#序15636
Κ	ofxd#序15635
Λ	ofxd#序15634
Μ	ofxd#序15633
Ν	ofxd#序15632
Ξ	ofxd#序15631
Ο	ofxd#序15630
Π	ofxd#序15629
Ρ	ofxd#序15628
Σ	ofxd#序15627
Τ	ofxd#序15626
Υ	ofxd#序15625
Φ	ofxd#序15624
Χ	ofxd#序15623
Ψ	ofxd#序15622
Ω	ofxd#序15621
α	ofxx#序15620
β	ofxx#序15619
γ	ofxx#序15618
δ	ofxx#序15617
ε	ofxx#序15616
ζ	ofxx#序15615
η	ofxx#序15614
θ	ofxx#序15613
ι	ofxx#序15612
κ	ofxx#序15611
λ	ofxx#序15610
μ	ofxx#序15609
ν	ofxx#序15608
ξ	ofxx#序15607
ο	ofxx#序15606
π	ofxx#序15605
ρ	ofxx#序15604
σ	ofxx#序15603
τ	ofxx#序15602
υ	ofxx#序15601
φ	ofxx#序15600
χ	ofxx#序15599
ψ	ofxx#序15598
ω	ofxx#序15597
①	ofyu#序15596
②	ofyu#序15595
③	ofyu#序15594
④	ofyu#序15593
⑤	ofyu#序15592
⑥	ofyu#序15591
⑦	ofyu#序15590
⑧	ofyu#序15589
⑨	ofyu#序15588
⑩	ofyu#序15587
$ddcmd(（,（)	oh#序16296
$ddcmd(wxkeyboard(<37.2><111>),😊)	oi#序16305
$ddcmd(🙏,🙏)	oibt#序15116
$ddcmd(🖕,🖕)	oicc#序15107
$ddcmd(😳,😳)	oidd#序15126
$ddcmd(🎂,🎂)	oidg#序15117
$ddcmd(✊,✊)	oifd#序15122
$ddcmd(👏,👏)	oigv#序15121
$ddcmd(😓,😊)	oihj#序15130
$ddcmd(🌹,🌹)	oihx#序15115
$ddcmd(😏,😏)	oihx#序15128
$ddcmd(☕,☕)	oiia#序15120
$ddcmd(🍺,🍺)	oijq#序15118
$ddcmd(➕,➕)	oijx#序15119
$ddcmd(😭,😭)	oiku#序15129
$ddcmd(🐎🐎🐅🐅,🐎🐎🐅🐅)	oimh#序15109
$ddcmd(🐂,🐂)	oin#序15114
$ddcmd(🐂,🐂)	oinq#序15113
$ddcmd(🐂🚶,🐂🚶)	oinr#序15110
$ddcmd(😠,😠)	oinu#序15127
$ddcmd(👌,👌)	oiok#序15123
$ddcmd(👍,👍)	oiql#序15125
$ddcmd(👎,👎)	oiro#序15124
$ddcmd(💤,💤)	oiuv#序15112
